batch,draw,support_slot,center,original_context_nodes,draw_context_nodes,context_jaccard,node_set_changed,graph_tensors_changed
0,6,1,78712,10,10,0.42857142857142855,True,True
0,6,2,64815,5,5,1.0,False,False
0,6,3,8321,9,10,0.05555555555555555,True,True
0,6,4,142855,20,20,0.21212121212121213,True,True
0,6,5,112134,15,15,1.0,False,False
0,6,6,108005,3,3,1.0,False,False
0,6,7,83520,5,5,1.0,False,False
0,6,8,92640,4,4,1.0,False,False
0,6,9,125058,3,3,1.0,False,False
0,6,10,126684,10,10,0.1111111111111111,True,True
0,6,11,46606,4,4,1.0,False,False
0,6,12,44299,20,20,0.14285714285714285,True,True
0,6,13,52537,2,2,1.0,False,False
0,6,14,45776,10,10,0.1111111111111111,True,True
0,6,15,109034,16,16,0.391304347826087,True,True
0,6,16,43990,9,10,0.46153846153846156,True,True
0,6,17,148018,3,3,1.0,False,False
0,6,18,42174,66,65,0.3645833333333333,True,True
0,6,19,56758,19,19,0.1875,True,True
0,6,20,21464,1,1,1.0,False,False
0,6,21,146420,1,1,1.0,False,False
0,6,22,1096,6,6,1.0,False,False
0,6,23,75993,4,4,1.0,False,False
0,6,24,87757,1,1,1.0,False,False
0,6,25,59980,10,10,0.1111111111111111,True,True
0,6,26,124982,2,2,1.0,False,False
0,6,27,141402,2,2,1.0,False,False
0,6,28,111056,1,1,1.0,False,False
0,6,29,1841,3,3,1.0,False,False
0,6,30,137821,0,0,1.0,False,False
0,6,31,46731,2,2,1.0,False,False
0,6,32,71725,12,13,0.47058823529411764,True,True
0,6,33,103468,19,19,0.11764705882352941,True,True
0,6,34,105546,2,2,1.0,False,False
0,6,35,99944,11,10,0.3125,True,True
0,6,36,113460,10,10,0.1111111111111111,True,True
0,6,37,98104,1,1,1.0,False,False
0,6,38,91888,0,0,1.0,False,False
0,6,39,36237,0,0,1.0,False,False
0,6,40,83916,1,1,1.0,False,False
0,6,41,147819,11,11,1.0,False,False
0,6,42,11000,2,2,1.0,False,False
