order,rung,added,source_count,sources,target,roc_auc,accuracy,f1,execution_source
B,6,covid_political,6,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter,covid_political",facebook_page_reference,0.8987613567528735,0.5480666666666667,0.5480842683785591,CARC-V100
B,7,covid19_twitter,7,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter,covid_political,covid19_twitter",ukr_rus_twitter,0.5980775498563219,0.0871888888888888,0.087175280937082,Tucker-H100
B,7,covid19_twitter,7,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter,covid_political,covid19_twitter",covid19_twitter,0.716453181114304,0.1719666666666666,0.1719206652877035,Tucker-H100
B,7,covid19_twitter,7,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter,covid_political,covid19_twitter",midterm,0.7130131910919538,0.1313611111111111,0.1313273019566723,Tucker-H100
B,7,covid19_twitter,7,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter,covid_political,covid19_twitter",covid_political,0.7564388662037037,0.1745388888888888,0.1745356084332884,Tucker-H100
B,7,covid19_twitter,7,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter,covid_political,covid19_twitter",election2020,0.683470724137931,0.1474666666666666,0.147462608804833,Tucker-H100
B,7,covid19_twitter,7,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter,covid_political,covid19_twitter",ukr_rus_suspended,0.6854873724137931,0.1616666666666666,0.1616836822040389,Tucker-H100
B,7,covid19_twitter,7,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter,covid_political,covid19_twitter",twibot20,0.7481373536877393,0.2638888888888889,0.2638991523000942,Tucker-H100
B,7,covid19_twitter,7,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter,covid_political,covid19_twitter",cp_hk_twitter,0.6190250278735632,0.09325,0.0932097258257071,Tucker-H100
B,7,covid19_twitter,7,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter,covid_political,covid19_twitter",facebook_page_reference,0.8969066761494254,0.5471166666666667,0.5471210647638789,Tucker-H100
