stream,model,decoder,full_model_outcome,n,conditional_accuracy
fresh,ss_facebook_page_reference,U1_pre_meta/prototype,c_only,124,0.6370967741935484
fresh,ss_facebook_page_reference,U1_pre_meta/prototype,both_wrong,197,0.43147208121827413
fresh,ss_facebook_page_reference,U1_pre_meta/ridge,both_correct,1609,0.867619639527657
fresh,ss_facebook_page_reference,U1_pre_meta/ridge,b_only,1142,0.7329246935201401
fresh,ss_facebook_page_reference,U1_pre_meta/ridge,c_only,124,0.6532258064516129
fresh,ss_facebook_page_reference,U1_pre_meta/ridge,both_wrong,197,0.45685279187817257
fresh,ss_facebook_page_reference,M2_post_meta/prototype,both_correct,1609,0.8638906152889994
fresh,ss_facebook_page_reference,M2_post_meta/prototype,b_only,1142,0.5998248686514887
fresh,ss_facebook_page_reference,M2_post_meta/prototype,c_only,124,0.6290322580645161
fresh,ss_facebook_page_reference,M2_post_meta/prototype,both_wrong,197,0.3197969543147208
fresh,ss_facebook_page_reference,M2_post_meta/ridge,both_correct,1609,0.8993163455562461
fresh,ss_facebook_page_reference,M2_post_meta/ridge,b_only,1142,0.7355516637478109
fresh,ss_facebook_page_reference,M2_post_meta/ridge,c_only,124,0.6935483870967742
fresh,ss_facebook_page_reference,M2_post_meta/ridge,both_wrong,197,0.3553299492385787
fresh,ss_facebook_page_reference,final_input/prototype,both_correct,1609,0.8638906152889994
fresh,ss_facebook_page_reference,final_input/prototype,b_only,1142,0.5998248686514887
fresh,ss_facebook_page_reference,final_input/prototype,c_only,124,0.6290322580645161
fresh,ss_facebook_page_reference,final_input/prototype,both_wrong,197,0.3197969543147208
fresh,ss_facebook_page_reference,final_input/ridge,both_correct,1609,0.8993163455562461
fresh,ss_facebook_page_reference,final_input/ridge,b_only,1142,0.7355516637478109
fresh,ss_facebook_page_reference,final_input/ridge,c_only,124,0.6935483870967742
fresh,ss_facebook_page_reference,final_input/ridge,both_wrong,197,0.3553299492385787
