threshold,alpha,iterations,excluded,target,run_dir,val_accuracy,val_roc_auc,test_accuracy,test_roc_auc
0.7,0.25,1,facebook_page_reference,ukr_rus_suspended,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T07_A025_I1_EXCL_facebook_page_reference_to_ukr_rus_suspended_pl_3shot_01_09_2026_01_13_12,0.56825,0.5828048750000001,0.55375,0.573192
0.7,0.25,1,twibot20,covid_political,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T07_A025_I1_EXCL_twibot20_to_covid_political_pl_3shot_01_09_2026_01_10_02,0.8985625,0.9537127473958334,0.8958333333333334,0.9486309210069446
0.7,0.25,1,twibot20,election2020,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T07_A025_I1_EXCL_twibot20_to_election2020_pl_3shot_01_09_2026_01_10_02,0.979,0.9910565,0.9785,0.9895875
0.7,0.25,1,twibot20,facebook_page_reference,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T07_A025_I1_EXCL_twibot20_to_facebook_page_reference_pl_3shot_01_09_2026_01_10_40,0.12014166666666666,0.7327631377693965,0.11959166666666667,0.7306783374371408
0.7,0.25,1,twibot20,twibot20,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T07_A025_I1_EXCL_twibot20_to_twibot20_pl_3shot_01_09_2026_01_10_39,0.6531458333333333,0.7001049010416667,0.6387291666666667,0.6846737890625
0.7,0.25,1,twibot20,ukr_rus_suspended,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T07_A025_I1_EXCL_twibot20_to_ukr_rus_suspended_pl_3shot_01_09_2026_01_13_06,0.54425,0.5759132499999999,0.54525,0.5722136250000001
0.7,0.25,1,ukr_rus_suspended,covid_political,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T07_A025_I1_EXCL_ukr_rus_suspended_to_covid_political_pl_3shot_01_09_2026_01_10_02,0.8993125,0.9523145008680556,0.8933125,0.9470315842013889
0.7,0.25,1,ukr_rus_suspended,election2020,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T07_A025_I1_EXCL_ukr_rus_suspended_to_election2020_pl_3shot_01_09_2026_01_10_02,0.9775,0.990592875,0.97725,0.98986325
0.7,0.25,1,ukr_rus_suspended,facebook_page_reference,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T07_A025_I1_EXCL_ukr_rus_suspended_to_facebook_page_reference_pl_3shot_01_09_2026_01_10_51,0.14807916666666668,0.7523042861260775,0.14562083333333334,0.7481941688577588
0.7,0.25,1,ukr_rus_suspended,twibot20,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T07_A025_I1_EXCL_ukr_rus_suspended_to_twibot20_pl_3shot_01_09_2026_01_10_52,0.7271875,0.8126384869791667,0.7249791666666666,0.8135545520833333
