state,trial,action,source,gradient_cosine,conflict,update_norm,matched_scale,train_bce_delta,bce_before,bce_delta,auc_before,auc_delta_pp
final,5,mixed,ukr_rus_twitter,-0.28503229765410043,True,0.05116980161827144,1.0389656363947737,-0.001332990825176239,0.08890620432794094,-0.000514887273311615,0.9865880475044251,0.010172224044791012
final,5,mixed,facebook_page_reference,-0.28503229765410043,True,0.05116980161827144,1.0389656363947737,0.001990586519241333,0.1769020117819309,-0.003413712978362987,0.9607913618087768,0.032109737396257554
final,5,corrected,ukr_rus_twitter,-0.28503229765410043,True,0.05316366550252171,1.0389656363947737,-0.0017492026090621948,0.08890620432794094,-0.0006529290229081997,0.9865880475044251,0.014443778991701794
final,5,corrected,facebook_page_reference,-0.28503229765410043,True,0.05316366550252171,1.0389656363947737,0.0013728514313697815,0.1769020117819309,-0.003429063409566835,0.9607913618087768,0.03661508560180993
final,5,mixed_norm_matched,ukr_rus_twitter,-0.28503229765410043,True,0.053163662764084,1.0389656363947737,-0.0013597458600997925,0.08890620432794094,-0.0005099147558212391,0.9865880475044251,0.01048133373261484
final,5,mixed_norm_matched,facebook_page_reference,-0.28503229765410043,True,0.053163662764084,1.0389656363947737,0.0021313652396202087,0.1769020117819309,-0.003488389402627967,0.9607913618087768,0.03317191600800129
final,6,mixed,ukr_rus_twitter,-0.4141316427871814,True,0.05256926739412637,1.0612279714879234,-0.003242313861846924,0.08890620432794094,-0.0007929906249046076,0.9865880475044251,0.030286645889276986
final,6,mixed,facebook_page_reference,-0.4141316427871814,True,0.05256926739412637,1.0612279714879234,0.003166504204273224,0.1769020117819309,-0.004129607975482952,0.9607913618087768,0.06977024078368421
final,6,corrected,ukr_rus_twitter,-0.4141316427871814,True,0.055787976999274964,1.0612279714879234,-0.003980204463005066,0.08890620432794094,-0.0009892571717500659,0.9865880475044251,0.0384103059768659
final,6,corrected,facebook_page_reference,-0.4141316427871814,True,0.055787976999274964,1.0612279714879234,0.0018437951803207397,0.1769020117819309,-0.00414547324180603,0.9607913618087768,0.08463993072510556
final,6,mixed_norm_matched,ukr_rus_twitter,-0.4141316427871814,True,0.05578797416955352,1.0612279714879234,-0.0033502429723739624,0.08890620432794094,-0.0007503442466259003,0.9865880475044251,0.03193025588988929
final,6,mixed_norm_matched,facebook_page_reference,-0.4141316427871814,True,0.05578797416955352,1.0612279714879234,0.003490075469017029,0.1769020117819309,-0.00425565540790554,0.9607913618087768,0.07335760593416563
final,7,mixed,ukr_rus_twitter,-0.1246032095417786,True,0.05114923981138408,1.0153157447785601,-0.0008417665958404541,0.08890620432794094,-0.0003617610782385011,0.9865880475044251,0.0048183917999322645
final,7,mixed,facebook_page_reference,-0.1246032095417786,True,0.05114923981138408,1.0153157447785601,0.0010086894035339355,0.1769020117819309,-0.0029665589332580344,0.9607913618087768,0.020930004119867895
final,7,corrected,ukr_rus_twitter,-0.1246032095417786,True,0.051932628513952604,1.0153157447785601,-0.001039251685142517,0.08890620432794094,-0.00041101649403572915,0.9865880475044251,0.0061559438705449665
final,7,corrected,facebook_page_reference,-0.1246032095417786,True,0.051932628513952604,1.0153157447785601,0.0007000714540481567,0.1769020117819309,-0.0029136434197425676,0.9607913618087768,0.021653103828433995
final,7,mixed_norm_matched,ukr_rus_twitter,-0.1246032095417786,True,0.05193262986262394,1.0153157447785601,-0.000848621129989624,0.08890620432794094,-0.00036180950701236725,0.9865880475044251,0.004869508743288176
