arm,step,task,dataset,target,metric,value,model,source_model,shared_step0,n_hop,hop_sizes,node_limit,nm_walk_hops,evidence_path
ukr,100,classification,ukr_rus_suspended,,roc_auc,0.48353799999999997,sat_h2m_ukr_s000100,sat_h2m_ukr_s000100,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s000100_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_36_10/data/metrics_test_step0.json
ukr,500,classification,covid_political,,roc_auc,0.9138680694444444,sat_h2m_ukr_s000500,sat_h2m_ukr_s000500,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s000500_to_covid_political_pl_10shot_01_08_2026_13_30_39/data/metrics_test_step0.json
ukr,500,classification,election2020,,roc_auc,0.98058,sat_h2m_ukr_s000500,sat_h2m_ukr_s000500,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s000500_to_election2020_pl_10shot_01_08_2026_13_34_02/data/metrics_test_step0.json
ukr,500,classification,twibot20,,roc_auc,0.5786965694444445,sat_h2m_ukr_s000500,sat_h2m_ukr_s000500,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s000500_to_twibot20_pl_10shot_01_08_2026_13_38_44/data/metrics_test_step0.json
ukr,500,classification,ukr_rus_suspended,,roc_auc,0.49894000000000005,sat_h2m_ukr_s000500,sat_h2m_ukr_s000500,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s000500_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_36_22/data/metrics_test_step0.json
ukr,1000,classification,covid_political,,roc_auc,0.9364530277777778,sat_h2m_ukr_s001000,sat_h2m_ukr_s001000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s001000_to_covid_political_pl_10shot_01_08_2026_13_31_02/data/metrics_test_step0.json
ukr,1000,classification,election2020,,roc_auc,0.9785459999999999,sat_h2m_ukr_s001000,sat_h2m_ukr_s001000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s001000_to_election2020_pl_10shot_01_08_2026_13_34_12/data/metrics_test_step0.json
ukr,1000,classification,twibot20,,roc_auc,0.6016934444444444,sat_h2m_ukr_s001000,sat_h2m_ukr_s001000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s001000_to_twibot20_pl_10shot_01_08_2026_13_38_56/data/metrics_test_step0.json
ukr,1000,classification,ukr_rus_suspended,,roc_auc,0.48610600000000004,sat_h2m_ukr_s001000,sat_h2m_ukr_s001000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s001000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_36_22/data/metrics_test_step0.json
ukr,2000,classification,covid_political,,roc_auc,0.9333007499999999,sat_h2m_ukr_s002000,sat_h2m_ukr_s002000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s002000_to_covid_political_pl_10shot_01_08_2026_13_31_02/data/metrics_test_step0.json
ukr,2000,classification,election2020,,roc_auc,0.9812960000000001,sat_h2m_ukr_s002000,sat_h2m_ukr_s002000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s002000_to_election2020_pl_10shot_01_08_2026_13_34_12/data/metrics_test_step0.json
ukr,2000,classification,twibot20,,roc_auc,0.6087064722222222,sat_h2m_ukr_s002000,sat_h2m_ukr_s002000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s002000_to_twibot20_pl_10shot_01_08_2026_13_39_08/data/metrics_test_step0.json
