arm,step,task,dataset,target,metric,value_h2,model,source_model,shared_step0,n_hop,hop_sizes,node_limit,nm_walk_hops,evidence_path,value_h1,delta_h2_minus_h1
ukr,500,classification,twibot20,,roc_auc,0.5786965694444445,sat_h2m_ukr_s000500,sat_h2m_ukr_s000500,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s000500_to_twibot20_pl_10shot_01_08_2026_13_38_44/data/metrics_test_step0.json,0.6546773472222223,-0.07598077777777779
ukr,500,classification,ukr_rus_suspended,,roc_auc,0.49894000000000005,sat_h2m_ukr_s000500,sat_h2m_ukr_s000500,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s000500_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_36_22/data/metrics_test_step0.json,0.4954999999999999,0.003440000000000165
ukr,1000,classification,covid_political,,roc_auc,0.9364530277777778,sat_h2m_ukr_s001000,sat_h2m_ukr_s001000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s001000_to_covid_political_pl_10shot_01_08_2026_13_31_02/data/metrics_test_step0.json,0.8577919999999999,0.07866102777777795
ukr,1000,classification,election2020,,roc_auc,0.9785459999999999,sat_h2m_ukr_s001000,sat_h2m_ukr_s001000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s001000_to_election2020_pl_10shot_01_08_2026_13_34_12/data/metrics_test_step0.json,0.973492,0.005053999999999892
ukr,1000,classification,twibot20,,roc_auc,0.6016934444444444,sat_h2m_ukr_s001000,sat_h2m_ukr_s001000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s001000_to_twibot20_pl_10shot_01_08_2026_13_38_56/data/metrics_test_step0.json,0.6512869305555555,-0.04959348611111114
ukr,1000,classification,ukr_rus_suspended,,roc_auc,0.48610600000000004,sat_h2m_ukr_s001000,sat_h2m_ukr_s001000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s001000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_36_22/data/metrics_test_step0.json,0.495482,-0.00937599999999994
ukr,2000,classification,covid_political,,roc_auc,0.9333007499999999,sat_h2m_ukr_s002000,sat_h2m_ukr_s002000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s002000_to_covid_political_pl_10shot_01_08_2026_13_31_02/data/metrics_test_step0.json,0.8884377361111111,0.0448630138888888
ukr,2000,classification,election2020,,roc_auc,0.9812960000000001,sat_h2m_ukr_s002000,sat_h2m_ukr_s002000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s002000_to_election2020_pl_10shot_01_08_2026_13_34_12/data/metrics_test_step0.json,0.974448,0.006848000000000076
ukr,2000,classification,twibot20,,roc_auc,0.6087064722222222,sat_h2m_ukr_s002000,sat_h2m_ukr_s002000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s002000_to_twibot20_pl_10shot_01_08_2026_13_39_08/data/metrics_test_step0.json,0.6216540277777778,-0.012947555555555601
ukr,2000,classification,ukr_rus_suspended,,roc_auc,0.48182400000000003,sat_h2m_ukr_s002000,sat_h2m_ukr_s002000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s002000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_36_31/data/metrics_test_step0.json,0.503406,-0.02158199999999999
ukr,10000,classification,covid_political,,roc_auc,0.9388176527777777,sat_h2m_ukr_s010000,sat_h2m_ukr_s010000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_ukr_s010000_to_covid_political_pl_10shot_01_08_2026_13_31_02/data/metrics_test_step0.json,0.9122249583333334,0.026592694444444342
