target,family,checkpoint_step,metric,seeds,mean,sample_std
ukr_rus_suspended,leave_one_out,900,f1_macro,3,0.4987781757162249,0.0020189043057420846
ukr_rus_suspended,leave_one_out,900,roc_auc_ovr_macro,3,0.49720759898565653,0.0022431147536367954
ukr_rus_suspended,leave_one_out,2500,accuracy,3,0.5187706051260236,0.0029463247564803638
ukr_rus_suspended,leave_one_out,2500,f1_macro,3,0.5007109392507746,0.0018009695522757435
ukr_rus_suspended,leave_one_out,2500,roc_auc_ovr_macro,3,0.4966332992327737,0.0013304641379985101
ukr_rus_suspended,specialist,100,accuracy,3,0.51259645266877,0.002220656677197868
ukr_rus_suspended,specialist,100,f1_macro,3,0.48983453830523627,0.0022829419112279253
ukr_rus_suspended,specialist,100,roc_auc_ovr_macro,3,0.47787696609905733,0.0025388710834623697
ukr_rus_suspended,specialist,300,accuracy,3,0.53806704715989,0.0032494196430080183
ukr_rus_suspended,specialist,300,f1_macro,3,0.4801408784477781,0.001497280916903767
ukr_rus_suspended,specialist,300,roc_auc_ovr_macro,3,0.4755973663202894,0.0011515106681361715
ukr_rus_suspended,specialist,900,accuracy,3,0.543792170347525,0.0036821763386819632
ukr_rus_suspended,specialist,900,f1_macro,3,0.4993314745869479,0.006806845216849785
ukr_rus_suspended,specialist,900,roc_auc_ovr_macro,3,0.5017985083139094,0.002573153638987708
ukr_rus_suspended,specialist,2500,accuracy,3,0.5383388280336062,0.0026277635126197977
ukr_rus_suspended,specialist,2500,f1_macro,3,0.5109338439414502,0.0026580210623339522
ukr_rus_suspended,specialist,2500,roc_auc_ovr_macro,3,0.5127817567256402,0.0014778367439019988
