model,order,rung,training_seed,target,roc_auc,fingerprint
PRODIGY,B,3,1,election2020,0.98907470703125,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,B,3,1,facebook_page_reference,0.7122116088867188,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,B,3,1,twibot20,0.6264345380995009,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,B,3,1,ukr_rus_suspended,0.507568359375,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,B,3,2,covid_political,0.931486341688368,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,B,3,2,election2020,0.98907470703125,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,B,3,2,facebook_page_reference,0.6965370178222656,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,B,3,2,twibot20,0.6137343512641059,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,B,3,2,ukr_rus_suspended,0.4879150390625,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,B,4,0,covid_political,0.9268456918221936,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,B,4,0,election2020,0.984619140625,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,B,4,0,facebook_page_reference,0.7918853759765625,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,B,4,0,twibot20,0.628115971883138,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,B,4,0,ukr_rus_suspended,0.4737548828125,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,B,4,1,covid_political,0.9293458726671008,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,B,4,1,election2020,0.98870849609375,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,B,4,1,facebook_page_reference,0.7676448822021484,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,B,4,1,twibot20,0.6107713911268446,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,B,4,1,ukr_rus_suspended,0.5286865234375,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,B,4,2,covid_political,0.9372033013237848,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,B,4,2,election2020,0.98846435546875,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,B,4,2,facebook_page_reference,0.7655735015869141,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,B,4,2,twibot20,0.6217466990152996,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,B,4,2,ukr_rus_suspended,0.5196533203125,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
